Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0018983,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-03-25,2020-06-24,public,Evenement HelloAsso redescend dans la mauvaise division (0001284),"Hello Zakaria,

Il y a un souci avec certains événements créés dans HelloAsso, qui redescendent bien dans SIGMA mais pas pour la bonne division.

Marine Pascal de RE Loire a créé vendredi un événement (Soirée 1er de cordée, créée le 11/10) qui dans un premier temps n'est pas redescendu. Quand je vais dans SIGMA, il redescend bien, mais est rattaché à l'utilisateur reseauentreprendrefede... et non à RE Loire
Je te mets en PJ des captures d'écran de la liste des événements qui retombent pour le compte fédé alors que pour certains ça ne devrait pas être le cas (Provence, sur la seconde capture d'écran: on voit bien le nom de l'asso dans l'URL du lien HelloAsso).

Est-ce que tu pourrais regarder à quoi c'est dû et corriger ?
Est-ce que la retombée de l'évé dans la mauvaise division peut perturber la collecte des réponses des invités ? (dans le cas où on réattribue l'évé à son utilisateur originel) ?

Merci pour ton aide !
Audrey",0
0019008,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,normale,mineur,S/O,commentaire,ouvert,Evolution,2020-03-30,2020-06-24,public,Modification champs nombre d'années de garantie,"Bonjour, 

Comment passer le champs ""Nombre d'années de garantie"" (ser_nombredanneesdegarantie) de l'entité prêt en nombre décimal ? 

Merci d'avance, 

Louis",
0019250,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,immédiate,bloquant,quelques fois,commentaire,ouvert,Support,2020-06-16,2020-06-24,public,Report des prêts,"Bonjour, 
Suite à la modification des plugins, un bug se présente quelques fois : 
lorsque les échéances sont reportées, le montant ne se met pas à 0 alors qu'il le devrait. Par exemple sur celui-ci : Prêt BALLADE Gérald / Les Triporteurs Malouins 
<https://reseauentreprendre.crm4.dynamics.com/main.aspx?etc=10087&extraqs=formid%3d87390678-aa39-4bc8-aef6-abf37f94837f&id=%7b7A2E7F12-0F4D-4E3A-9C4E-6F72B8B468EA%7d&pagetype=entityrecord>
",0.75
0019216,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-06-08,2020-06-08,public,Modification du plugin de report,Modification du plugin de report,2
0018988,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-03-26,2020-06-08,public,[SAGE] Paramètrage SQL / Déploiement nouvelles asso,Déploiement nouvelles asso,8
0018974,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,commentaire,réouvert,Support,2020-03-25,2020-05-12,public,calcul heures de bénévolat (0001274),"Maxime ALAY-EDDINE a participé à 2 CE, mais aucune heure de bénévolat n'a été décomptée pour cela.
La participation de membres aux événements donne lieu à décompte d'heures de bénévolat, à l'exception des événements type ""conviviale""",2
0018966,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Evolution,2020-03-25,2020-04-17,public,Adaptations International : traductions espagnoles demandées sur le module Evenements (0001108),"Traduction à apporter sur les liens de participation :
Je participe : Participo
Je ne participe pas : No Participo

Modification et traduction à apporter sur la page web réponse à la participation aux évènements :

Modifier le logo Réseau Entreprendre par : Netmentora

Dans le cas d’acceptation :
Muchas gracias.
Te esperamos.

Dans le cas de non acceptation :
Muchas gracias!
Será en otra oportunidad.",5
0018982,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-03-25,2020-03-25,public,Evenements : pbs d'enregistrement de participation (0001166),"Rappel du problème évoqué jeudi en complément de mon mail du 05/06/2019 : Olivier DECLERCK <odeclerck@reseau-entreprendre.org> a écrit: On a toujours ce problème lors de l'envoi d'invitation à plus de 250 personnes.
Exemple, l'événement REN Running du 5 juin 2019. 886 invités. envoi de l'invitation par paquets de 250.
pour certains destinataires, toujours les mêmes, ils apparaissent avec le statut = participe alors qu'ils n'ont cliqué aucun lien. Difficile donc de se fier aux réponses !

Infos complémentaires : les réponses positives a priori non liées à la volonté d'un invité (selon leurs dires, leur manque d'intérêt pour le sujet, leur indisponibilité...) concernent a priori toujours les mêmes, et les réponses arrivent tout de suite après l'envoi. L'utilisateur émet donc l'hypothèse que les liens soient ""activés"" par un robot, anti-virus ou autre programme automatique testant les liens. Ils ont constaté sur un autre outil de routage que certains invités se trouvaient dans l'outil de tracking comme ayant cliqué sur 2 liens contradictoires en même temps.
Pouvez-vous vous renseigner ?

Par ailleurs, je lui ai dit que nous avions besoin de cas très précis pour identifier et corriger l'eventuel problème : il va faire un nouvel envoi prochainement et va nous remonter précisément ces cas ""bizarres"".",0
0018981,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Support,2020-03-25,2020-03-25,public,Impossible d'envoyer des emails en masse (0001165),"Bug rapporté par Olivier DECLERCK :
""Impossible de créer un envoi d'emails en masse.
Tous les champs obligatoires sont renseignés.
Au moment d'enregistrer l'email, message d'erreur = erreur du processus d'entreprise""",0
0018978,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-03-25,2020-03-25,public,récupération automatiques des dates de 1ere promotion lauréats (0001269),"Super que les dates de première promotion puisse être modifiées pour les lauréats… mais très chronophages à faire pour 500 boites (donc près de 900 personnes…).

Les dates de CE étant renseignées sur SIGMA, serait-il possible de faire passer un script pour que les dates de première promotion des lauréates reprennent la date de CE ?

Je pense que toutes les asso sont concernées par cela. Cela serait super et nous ferait gagner un temps fou + une info précieuse sur chaque personne,",0
0018939,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-03-20,2020-03-24,public,Evolution evenements (0001228),"Les utilisateurs souhaiteraient avoir, sur chaque événement, un dossier rassemblent tous les emails relatifs à l'événement. Ces dossiers viendraient en complément de la bibliothèque de modèles qui rassemble les emails qui ont vocation à reservir.
Pour chaque événement, l'utilisateur mettrait dans le dossier les emails envoyés avec le module gestion des événements : invitations, confirmation, relance, informations pratiques, remerciements,

Par ailleurs, compte-tenu des limites de mise en page, routage & tracking du système actuel avec Outlook, nous voudrions re-étudier l'interfaçage avec Click Dimension. 2 membres du Club utilisateurs sont prêts à travailler sur le sujet. POurrait-on envisager une présentation de l'outil, et éventuellement de l'interface qui avait été développée et rejetée à l'époque par les utilisateurs ?",0
0018937,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,basse,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-03-20,2020-03-24,public,"Paramétrage : connexions tables Suivi des participations & Listes de comm, voire projets (0001233)","Un utilisateur demande à pouvoir calculer les taux de participation globaux de ses communautés aux clubs.
Pour cela il faudrait, dans la table ""ajouter des colonnes"" du suivi des participations / suivi des clubs, ajouter l'item liste de comm, voire projets, cf image en PJ",0
